ArraySize,QuicksortTime,BubbleSortTime,BinarySearchTime,LinearSearchTime
1000,37,484,100,100
6000,250,17183,100,100
11000,577,65618,100,100
16000,755,192887,100,100
21000,932,424659,100,100
26000,1234,679358,100,100
31000,1457,1042695,100,100
36000,2218,1511168,100,100
41000,1974,1960489,100,100
46000,2398,2429305,100,100
51000,3181,3164943,100,100
56000,2709,3624753,100,100
61000,2960,4331090,100,100
66000,3388,5059615,100,100
71000,3793,7366886,100,100
76000,3950,7737426,100,100
81000,4562,8162314,100,100
86000,5042,8868745,100,100
91000,4727,9982414,100,100
96000,4954,11036030,100,100
101000,5029,12234116,100,100
106000,5840,13623227,100,100
111000,5737,14840159,100,100
116000,6148,16336099,100,100
121000,6506,17801366,100,100
126000,6344,19350317,100,100
131000,6981,20964998,100,100
136000,7331,22631488,100,100
141000,7547,24326265,100,100
146000,7719,26227377,100,100
151000,7786,28045053,100,100
156000,9055,29999896,100,100
161000,8601,32538916,100,100
166000,9244,33889451,100,100
171000,9294,35724511,100,100
176000,9377,37809840,100,100
181000,9461,40116078,100,100
186000,10070,42234431,100,100
191000,9942,44762500,100,100
196000,10677,46918159,100,100
201000,11273,49570325,100,100
206000,10747,52094226,100,100
211000,11413,54680760,100,100
216000,11778,57206570,100,100
221000,11829,60100732,100,100
226000,12050,62887552,100,100
231000,12455,65693393,100,100
236000,12592,68825936,100,100
241000,13358,72130156,100,100
246000,12972,74661528,100,100
251000,13322,77684772,100,100
256000,13948,81056074,100,100
261000,14736,84258933,100,100
266000,14366,87417567,100,100
271000,14846,96571246,100,100
276000,18217,100264133,100,100
281000,22113,101493907,100,100
286000,15918,102967988,100,100
291000,16248,106761676,100,100
296000,16245,111953485,100,100
301000,16794,,100,100
306000,16272,,100,100
311000,17333,,100,100
316000,17579,,100,100
321000,17623,,100,100
326000,18000,,100,100
331000,18175,,100,100
336000,18486,,100,100
341000,18600,,100,100
346000,19250,,100,100
351000,19503,,100,100
356000,19915,,100,100
361000,20153,,100,100
366000,20530,,100,100
371000,20428,,100,100
376000,21247,,100,100
381000,21112,,100,100
386000,21132,,100,100
391000,21652,,100,100
396000,23062,,100,100
401000,22410,,100,100
406000,23962,,100,100
411000,24549,,100,100
416000,25617,,100,100
421000,23558,,100,100
426000,25280,,100,100
431000,23853,,100,100
436000,24348,,100,100
441000,24449,,100,100
446000,25228,,100,100
451000,28013,,100,100
456000,26694,,100,100
461000,26409,,100,100
466000,26892,,100,100
471000,26838,,100,100
476000,26806,,100,100
481000,27281,,100,100
486000,28735,,100,100
491000,27940,,100,100
496000,31128,,100,100
501000,28586,,100,100
506000,29068,,100,100
511000,29978,,100,100
516000,29771,,100,100
521000,30413,,100,100
526000,30980,,100,100
531000,30937,,100,100
536000,31503,,100,100
541000,31625,,100,100
546000,31762,,100,100
551000,31592,,100,100
556000,30857,,100,100
561000,32412,,100,100
566000,32666,,100,100
571000,32807,,100,100
576000,33355,,100,100
581000,32973,,100,100
586000,32936,,100,100
591000,34458,,100,100
596000,36029,,100,100
601000,33708,,100,100
606000,34864,,100,100
611000,34499,,100,100
616000,34642,,100,100
621000,36343,,100,100
626000,36240,,100,100
631000,35454,,100,100
636000,37296,,100,100
641000,37092,,100,100
646000,37400,,100,100
651000,36840,,100,100
656000,38008,,100,100
661000,37377,,100,100
666000,38084,,100,100
671000,38775,,100,100
676000,38601,,100,100
681000,39753,,100,100
686000,39498,,100,100
691000,39299,,100,100
696000,39715,,100,100
701000,41582,,100,100
706000,46515,,100,100
711000,41433,,100,100
716000,40938,,100,100
721000,41847,,100,100
726000,41669,,100,100
731000,42865,,100,100
736000,42992,,100,100
741000,43316,,100,100
746000,44212,,100,100
751000,44121,,100,100
756000,45046,,100,100
761000,44682,,100,100
766000,44449,,100,100
771000,45334,,100,100
776000,45550,,100,100
781000,45484,,100,100
786000,46859,,100,100
791000,46633,,100,100
796000,45901,,100,100
801000,47622,,100,100
806000,46769,,100,100
811000,47732,,100,100
816000,46943,,100,100
821000,49030,,100,100
826000,50350,,100,100
831000,49335,,100,100
836000,49808,,100,100
841000,50747,,100,100
846000,50774,,100,100
851000,50274,,100,100
856000,52082,,100,100
861000,50568,,100,100
866000,51663,,100,100
871000,51126,,100,100
876000,51755,,100,100
881000,56309,,100,100
886000,64781,,100,100
891000,62022,,100,100
896000,54917,,100,100
901000,53909,,100,100
906000,54133,,100,100
911000,63567,,100,100
916000,72660,,100,100
921000,85383,,100,100
926000,74458,,100,100
931000,61488,,100,100
936000,56108,,100,100
941000,61991,,100,100
946000,56089,,100,100
951000,62034,,100,100
956000,61001,,100,100
961000,60159,,100,100
966000,57479,,100,100
971000,58052,,100,100
976000,57175,,100,100
981000,58502,,100,100
986000,58338,,100,100
991000,58996,,100,100
996000,59098,,100,100
